4DHIF;
DBI;WB
BWM;TR
NVS;GU
DBI;WB
DBI;MF,WB
NVS;GU
RK;PA
E;SE,WL
AM;TD
DBI;MF,WB
GES;KN
POS1U;SF,LB
E;SE,WL
NW2;HX
BWM;BA
GEO;TA
POS1U;SF,LB
POS1;SF
VERT;div
D;JM
RK;PA
-;-
POS1;SF
VERT;div
BESP;TA
-;-
BWM;BA
-;-
-;-
BESP;TA
-;-
D;JM
AM;TD
SYP1;KW
-;-
-;-
E;SE,WL
NW2;TD
SYP1U;KW,BA
-;-
-;-
-;-
SYP1S;LT
SYP1U;KW,BA
-;-
-;-
-;-
SYP1S;LT
SYP1U;KW,BA
-;-
